"Time (s)","Pressure (hPa)"
2.143858974E2,9.773041992E2
2.144358974E2,9.773041992E2
2.144858974E2,9.773041992E2
2.145358974E2,9.773041992E2
2.145858974E2,9.773041992E2
2.146358974E2,9.773041992E2
2.146858974E2,9.773041992E2
2.147358974E2,9.773041992E2
2.147858974E2,9.773041992E2
2.148358974E2,9.773041992E2
2.148858974E2,9.773041992E2
2.149358974E2,9.773041992E2
2.149858974E2,9.773043213E2
2.150358974E2,9.773043213E2
2.150858974E2,9.773043213E2
2.151358974E2,9.773043213E2
2.151858974E2,9.773043213E2
2.152358974E2,9.773043213E2
2.152858974E2,9.773043213E2
2.153358974E2,9.773043213E2
2.153858974E2,9.773043823E2
2.154358974E2,9.773043823E2
2.154858974E2,9.773043823E2
2.155358974E2,9.773043823E2
2.155858974E2,9.773045044E2
2.156358974E2,9.773045654E2
2.156858974E2,9.773046265E2
2.157358974E2,9.773046875E2
2.157858974E2,9.773048706E2
2.158358974E2,9.773051758E2
2.158858974E2,9.773054810E2
2.159358974E2,9.773059082E2
2.159858974E2,9.773060913E2
2.160358974E2,9.773064575E2
2.160858974E2,9.773067627E2
2.161358974E2,9.773070679E2
2.161858974E2,9.773074341E2
2.162358974E2,9.773076782E2
2.162858974E2,9.773081665E2
2.163358974E2,9.773086548E2
2.163858974E2,9.773088989E2
2.164358974E2,9.773092651E2
2.164858974E2,9.773096313E2
2.165358974E2,9.773099976E2
2.165858974E2,9.773101807E2
2.166358974E2,9.773104248E2
2.166858974E2,9.773107910E2
2.167358974E2,9.773110962E2
2.167858974E2,9.773114624E2
2.168358974E2,9.773118286E2
2.168858974E2,9.773122559E2
2.169358974E2,9.773128052E2
2.169858974E2,9.773132935E2
2.170358974E2,9.773137817E2
2.170858974E2,9.773142700E2
2.171358974E2,9.773146362E2
2.171858974E2,9.773150635E2
2.172358974E2,9.773154907E2
2.172858974E2,9.773159180E2
2.173358974E2,9.773164062E2
2.173858974E2,9.773168335E2
2.174358974E2,9.773173828E2
2.174858974E2,9.773178101E2
2.175358974E2,9.773182373E2
2.175858974E2,9.773186035E2
2.176358974E2,9.773188477E2
2.176858974E2,9.773192749E2
2.177358974E2,9.773195801E2
2.177858974E2,9.773200684E2
2.178358974E2,9.773206787E2
2.178858974E2,9.773210449E2
2.179358974E2,9.773215332E2
2.179858974E2,9.773219604E2
2.180358974E2,9.773222046E2
2.180858974E2,9.773225098E2
2.181358974E2,9.773228149E2
2.181858974E2,9.773234253E2
2.182358974E2,9.773239746E2
2.182858974E2,9.773244629E2
2.183358974E2,9.773249512E2
2.183858974E2,9.773252563E2
2.184358974E2,9.773256836E2
2.184858974E2,9.773261108E2
