"Time (s)","Magnetic field x (µT)","Magnetic field y (µT)","Magnetic field z (µT)"
6.389788358E2,5.414046097E1,4.194720459E1,3.348114014E0
6.390288358E2,5.464393997E1,3.948021698E1,2.962196350E0
6.390788358E2,5.559858322E1,4.014034271E1,3.382705688E0
6.391288358E2,5.230392456E1,3.875921631E1,2.529670715E0
6.391788358E2,5.379887009E1,4.131769562E1,2.653221130E0
6.392288358E2,5.274942398E1,3.830557251E1,2.958564758E0
6.392788358E2,5.324227905E1,3.894539642E1,3.375068665E0
6.393288358E2,5.281306839E1,3.987298584E1,2.521286011E0
6.393788358E2,5.450754166E1,3.978056335E1,3.376899719E0
6.394288358E2,5.328963089E1,4.003887177E1,3.362678528E0
6.394788358E2,5.191906738E1,3.719597626E1,1.565681458E0
6.395288358E2,5.358004761E1,3.991034698E1,2.248245239E0
6.395788358E2,5.403908157E1,3.976911926E1,2.673591614E0
6.396288358E2,5.235795212E1,3.984384155E1,3.216575623E0
6.396788358E2,5.305060959E1,3.832794952E1,2.261940002E0
6.397288358E2,5.320996857E1,3.849269867E1,2.121643066E0
6.397788358E2,5.296308517E1,4.005011749E1,1.401969910E0
6.398288358E2,5.350839233E1,3.835355377E1,1.846359253E0
6.398788358E2,5.324913406E1,3.926667023E1,2.672225952E0
6.399288358E2,5.403659058E1,4.010278320E1,9.917373657E-1
6.399788358E2,5.206789780E1,4.063259888E1,1.526741028E0
6.400288358E2,5.445075226E1,3.853442383E1,3.111343384E0
6.400788358E2,5.462355042E1,3.884652710E1,3.668579102E0
6.401288358E2,5.351907349E1,3.833939362E1,2.965240479E0
6.401788358E2,5.454537201E1,4.055630493E1,3.787635803E0
6.402288358E2,5.306662750E1,3.830670929E1,3.940254211E0
6.402788358E2,5.392173386E1,4.070493317E1,2.242065430E0
6.403288358E2,5.369739532E1,3.897454071E1,2.679771423E0
6.403788358E2,5.417814255E1,3.946523285E1,2.538604736E0
6.404288358E2,5.292774582E1,3.894071198E1,2.673095703E0
6.404788358E2,5.281039810E1,3.987652588E1,2.241569519E0
6.405288358E2,5.281039810E1,3.987652588E1,2.241569519E0
6.405788358E2,5.328295898E1,4.004772186E1,2.663375854E0
6.406288358E2,5.281039810E1,3.987652588E1,2.241569519E0
6.406788358E2,5.411725616E1,3.805934143E1,2.554534912E0
6.407288358E2,5.310757828E1,3.990421295E1,1.125350952E0
6.407788358E2,5.392173386E1,4.070493317E1,2.242065430E0
6.408288358E2,5.245393753E1,3.893634796E1,1.410354614E0
6.408788358E2,5.322359085E1,3.897017670E1,1.417030334E0
6.409288358E2,5.422291565E1,4.072731018E1,1.545433044E0
6.409788358E2,5.229724884E1,3.876806641E1,1.830368042E0
6.410288358E2,5.397810364E1,3.819816589E1,3.390594482E0
6.410788358E2,5.134527588E1,3.810440063E1,1.689582825E0
6.411288358E2,5.149795532E1,3.827799988E1,8.499832153E-1
6.411788358E2,5.133860016E1,3.811325073E1,9.902801514E-1
6.412288358E2,5.346104050E1,3.726008606E1,1.858749390E0
6.412788358E2,5.236893082E1,3.739726257E1,-3.901214600E-1
6.413288358E2,5.191924667E1,3.752610016E1,1.635437012E-1
6.413788358E2,5.200710297E1,3.939176178E1,8.416023254E-1
6.414288358E2,5.083239746E1,3.749113464E1,-8.248252869E-1
6.414788358E2,5.109289932E1,3.641119385E1,-8.097648621E-1
6.415288358E2,5.146841049E1,3.798681641E1,-8.247947693E-1
6.415788358E2,5.054625320E1,3.810951996E1,-1.394016266E0
6.416288358E2,5.284425354E1,3.772998047E1,-3.896560669E-1
6.416788358E2,5.048260880E1,3.654211426E1,-9.567375183E-1
